No.,Category,Title,URL,Replies,Views
64,Community Created SmartApps,[RELEASE] Orbit Bhyve Controller - Hose Faucet Timer Integration SmartApp,https://community.smartthings.com/t/release-orbit-bhyve-controller-hose-faucet-timer-integration-smartapp/171730,75,3774
65,Community Created SmartApps,[UPDATED JAN 2019] Hue B Smart (Groups & Scenes) - Remove Popcorn Effect!,https://community.smartthings.com/t/updated-jan-2019-hue-b-smart-groups-scenes-remove-popcorn-effect/95397,672,25545
66,Connected Things,Hampton Bay Zigbee Fan controller,https://community.smartthings.com/t/hampton-bay-zigbee-fan-controller/47463,990,109474
67,Devices & Integrations,"Ecolink door sensor 4655BC0-R, has anybody used it?",https://community.smartthings.com/t/ecolink-door-sensor-4655bc0-r-has-anybody-used-it/196746,9,51
68,Devices & Integrations,Meross device import moves all existing devices to 1 room,https://community.smartthings.com/t/meross-device-import-moves-all-existing-devices-to-1-room/196556,6,70
69,Devices & Integrations,Arlo integration not working,https://community.smartthings.com/t/arlo-integration-not-working/189935,43,864
70,Devices & Integrations,17 Amcrest IP cams w NVR to Blue Iris and S.T,https://community.smartthings.com/t/17-amcrest-ip-cams-w-nvr-to-blue-iris-and-s-t/196807,3,50
71,Community Created SmartApps,[RELEASE] Honeywell / Ademco Vista 20P Integration,https://community.smartthings.com/t/release-honeywell-ademco-vista-20p-integration/41227,1258,66943
72,Connected Things,App Versus Website,https://community.smartthings.com/t/app-versus-website/153115,10,1100
73,General Discussion,"Siren when window opens, so I can get my GUNS",https://community.smartthings.com/t/siren-when-window-opens-so-i-can-get-my-guns/79716,9,724
74,Apps & Clients,HEM disappeared from original SmartThings app,https://community.smartthings.com/t/hem-disappeared-from-original-smartthings-app/194561,11,141
75,SmartThings (Samsung Connect),New app now allows you to download your personal data,https://community.smartthings.com/t/new-app-now-allows-you-to-download-your-personal-data/127151,2,803
76,General Discussion,Device handlers for Fibaro fgk101?,https://community.smartthings.com/t/device-handlers-for-fibaro-fgk101/196505,7,62
77,Projects & Stories,Ideas on triggering events once I wake up?,https://community.smartthings.com/t/ideas-on-triggering-events-once-i-wake-up/35843,15,2416
78,Apps & Clients,No Hub In Your Current Location (New App),https://community.smartthings.com/t/no-hub-in-your-current-location-new-app/196426,12,75
79,Connected Things,Solution to monitor radon fan running?,https://community.smartthings.com/t/solution-to-monitor-radon-fan-running/1512,11,2717
80,Community Created SmartApps,[RELEASE] Fully Kiosk Browser Controller (DTH),https://community.smartthings.com/t/release-fully-kiosk-browser-controller-dth/158504,182,8682
81,Devices & Integrations,2018 - Current: Custom Graber Virtual Cord Z-wave+ Shades & Bali Autoview Z-wave+ Shades,https://community.smartthings.com/t/2018-current-custom-graber-virtual-cord-z-wave-shades-bali-autoview-z-wave-shades/115458,678,25881
82,Announcements,Get ready to make the switch!,https://community.smartthings.com/t/get-ready-to-make-the-switch/183948,1199,32371
83,Devices & Integrations,Disarm button disappeared from app ADT,https://community.smartthings.com/t/disarm-button-disappeared-from-app-adt/196793,2,38
84,Community Created Device Types,[RELEASE] Virtual Garage Door Opener/Controller with Relays and Contact/Tilt/Door Sensors,https://community.smartthings.com/t/release-virtual-garage-door-opener-controller-with-relays-and-contact-tilt-door-sensors/119677,123,11374
85,Community Created SmartApps,[RELEASE] Neato (Connect) V1.2.6c (Botvac Connected Series),https://community.smartthings.com/t/release-neato-connect-v1-2-6c-botvac-connected-series/60039,834,56143
86,Devices & Integrations,Globe Suite and ST Integration,https://community.smartthings.com/t/globe-suite-and-st-integration/181888,346,14238
87,Devices & Integrations,Integrating window shades with SmartThings (Axis Gear),https://community.smartthings.com/t/integrating-window-shades-with-smartthings-axis-gear/28109,148,20553
88,Devices & Integrations,Withings Scales integration (May 2020),https://community.smartthings.com/t/withings-scales-integration-may-2020/195629,11,134
89,SmartApps & Automations,Water sensor - shutoff valves?,https://community.smartthings.com/t/water-sensor-shutoff-valves/195366,26,256
90,Connected Things,Pentair ScreenLogic,https://community.smartthings.com/t/pentair-screenlogic/71870,90,7752
91,Writing Device Types,Vid enhancement?,https://community.smartthings.com/t/vid-enhancement/196779,3,56
92,Devices & Integrations,Notifications on Samsung Q70 TV,https://community.smartthings.com/t/notifications-on-samsung-q70-tv/196777,1,42
93,Devices & Integrations,Connecting 3rd party Smart sockets to the SmartThings Hub,https://community.smartthings.com/t/connecting-3rd-party-smart-sockets-to-the-smartthings-hub/196774,2,51
94,SmartApps & Automations,SmartThings motion sensor automation notification not working,https://community.smartthings.com/t/smartthings-motion-sensor-automation-notification-not-working/196772,3,40
95,Projects & Stories,[BETA] Wink Relay - Custom SmartThings Integration,https://community.smartthings.com/t/beta-wink-relay-custom-smartthings-integration/111732,559,24507
96,Devices & Integrations,Zooz 4-in-1 Sensor - can't turn LED off,https://community.smartthings.com/t/zooz-4-in-1-sensor-cant-turn-led-off/196493,5,60
97,Connected Things,How much does my ST home system need a broadband connection?,https://community.smartthings.com/t/how-much-does-my-st-home-system-need-a-broadband-connection/196599,20,199
98,Community Created Device Types,[RELEASE] Tesla Powerwall Manager Smart App and Device Handler,https://community.smartthings.com/t/release-tesla-powerwall-manager-smart-app-and-device-handler/170347,17,964
99,General Discussion,Rule problems,https://community.smartthings.com/t/rule-problems/196581,14,123
100,Projects & Stories,Ideas on making push button light switch smart,https://community.smartthings.com/t/ideas-on-making-push-button-light-switch-smart/196711,3,67
101,Devices & Integrations,XML or JSON data as a Temperature sensor?,https://community.smartthings.com/t/xml-or-json-data-as-a-temperature-sensor/196692,2,47
102,Community Created Device Types,[BETA] AirScape Whole House Fan (Gen 2.0) Device Type,https://community.smartthings.com/t/beta-airscape-whole-house-fan-gen-2-0-device-type/76962,13,1542
103,Writing Device Types,Color Indicator split into 255 segments,https://community.smartthings.com/t/color-indicator-split-into-255-segments/196739,14,54
104,SmartThings (Samsung Connect),Status of Dashboard Tile: iOS vs Android,https://community.smartthings.com/t/status-of-dashboard-tile-ios-vs-android/196760,4,64
105,SmartApps & Automations,Dropbox Motion Sensor (Swann DVR),https://community.smartthings.com/t/dropbox-motion-sensor-swann-dvr/196582,3,45
106,General Discussion,Z-Wave Boiler Programmer?,https://community.smartthings.com/t/z-wave-boiler-programmer/51578,8,2094
107,Writing SmartApps,Simple SmartApp Tutorial (SmartApp SDK),https://community.smartthings.com/t/simple-smartapp-tutorial-smartapp-sdk/194664,16,528
108,Community Created SmartApps,[RELEASE] Lock User Management (LUM),https://community.smartthings.com/t/release-lock-user-management-lum/7043,1958,155852
109,Devices & Integrations,Samsung Multiroom + Spotify + Amazon Echo,https://community.smartthings.com/t/samsung-multiroom-spotify-amazon-echo/59641,6,938
110,General Discussion,Samsung TV - Can't Turn On,https://community.smartthings.com/t/samsung-tv-cant-turn-on/114960,108,64215
111,Writing SmartApps,Is there a working example of a button subscription,https://community.smartthings.com/t/is-there-a-working-example-of-a-button-subscription/196666,12,83
112,Connected Things,Ikea button (dimmer) not working,https://community.smartthings.com/t/ikea-button-dimmer-not-working/195237,15,112
113,Devices & Integrations,Xiaomi Mi Smart Plug (New Model) Device Handler,https://community.smartthings.com/t/xiaomi-mi-smart-plug-new-model-device-handler/196375,19,143
114,Devices & Integrations,Enbrighten new Zigbee 3.0 devices (May 2020),https://community.smartthings.com/t/enbrighten-new-zigbee-3-0-devices-may-2020/194056,31,451
115,Deals,4-Pack Sylvania 65W Equivalent Smart+ ZigBee Changing & Dimmable BR30 LED Bulb $22 @ amazom,https://community.smartthings.com/t/4-pack-sylvania-65w-equivalent-smart-zigbee-changing-dimmable-br30-led-bulb-22-amazom/196723,6,87
116,Community Created Device Types,[RELEASE] Nuki Manager for Nuki Smart Lock(Approved),https://community.smartthings.com/t/release-nuki-manager-for-nuki-smart-lock-approved/152149,35,3585
117,Projects & Stories,"Integration of MiLight, LimitlessLED, Easybulb, etc (2 methods)",https://community.smartthings.com/t/integration-of-milight-limitlessled-easybulb-etc-2-methods/31819,45,9786
118,Writing Device Types,Request Help - LAN JSON get request,https://community.smartthings.com/t/request-help-lan-json-get-request/196721,3,43
119,Devices & Integrations,Getting volvo on call integrated to smartthings? and mediaplayer handler,https://community.smartthings.com/t/getting-volvo-on-call-integrated-to-smartthings-and-mediaplayer-handler/126104,3,514
120,Features & Feedback,Can't automate a lighting group,https://community.smartthings.com/t/cant-automate-a-lighting-group/176392,3,164
121,Connected Things,Any Concord 4 alarm panel users out there?,https://community.smartthings.com/t/any-concord-4-alarm-panel-users-out-there/4429,209,20235
122,Automation Ideas,Power outage and lights,https://community.smartthings.com/t/power-outage-and-lights/12660,14,10880
123,Devices & Integrations,Automatons not working with Honeywell Honeywell TH6320ZW2003 T6 Pro Series Z-Wave Stat Thermostat,https://community.smartthings.com/t/automatons-not-working-with-honeywell-honeywell-th6320zw2003-t6-pro-series-z-wave-stat-thermostat/196633,9,68
124,Connected Things,Smart Things Wifi Hub,https://community.smartthings.com/t/smart-things-wifi-hub/192800,13,223
125,Wiki,New Brands/Devices available on the SmartThings Platform (using SmartThings v3 app),https://community.smartthings.com/t/new-brands-devices-available-on-the-smartthings-platform-using-smartthings-v3-app/156984,407,20746
126,Devices & Integrations,Code already registered: tried factory resetting 10+ times,https://community.smartthings.com/t/code-already-registered-tried-factory-resetting-10-times/162935,66,1845
127,SmartThings (Samsung Connect),Use phone keyboard on SmartThings to control Samsung smart TV?,https://community.smartthings.com/t/use-phone-keyboard-on-smartthings-to-control-samsung-smart-tv/167840,15,7760
128,General Discussion,"Smartthings Hub Zigbee State showing as ""Not Detected""",https://community.smartthings.com/t/smartthings-hub-zigbee-state-showing-as-not-detected/86904,31,2926
129,Features & Feedback,Push Notifications for Schlage Lock Not Working (April 2019),https://community.smartthings.com/t/push-notifications-for-schlage-lock-not-working-april-2019/160035,100,5565
130,Devices & Integrations,Bosch Alarm Panel - MQTT Gateway,https://community.smartthings.com/t/bosch-alarm-panel-mqtt-gateway/196733,1,31
131,Devices & Integrations,Xiaomi Devices dropping offline,https://community.smartthings.com/t/xiaomi-devices-dropping-offline/189824,8,210
132,Community Created Device Types,[RELEASE] cast-web v1.2.1 - Chromecast Device Handler & SmartApp,https://community.smartthings.com/t/release-cast-web-v1-2-1-chromecast-device-handler-smartapp/88038,1348,70186
133,Devices & Integrations,Can someone make a handler for LG washer,https://community.smartthings.com/t/can-someone-make-a-handler-for-lg-washer/91586,11,1937
134,webCoRE,Howto Get Info From Device List?,https://community.smartthings.com/t/howto-get-info-from-device-list/196684,3,49
135,Community Created SmartApps,[RELEASE] Security System: Intruder Alert with Actions,https://community.smartthings.com/t/release-security-system-intruder-alert-with-actions/10584,144,22087
136,Community Created Device Types,[RELEASE] Enerwave ZWN-RSM2 (v1 & v2) & RSM2-Plus —Smart Dual Relay Switch Module,https://community.smartthings.com/t/release-enerwave-zwn-rsm2-v1-v2-rsm2-plus-smart-dual-relay-switch-module/44256,119,19390
137,Devices & Integrations,Iris Z-wave repeaters all offline,https://community.smartthings.com/t/iris-z-wave-repeaters-all-offline/196421,12,117
138,Devices & Integrations,Dryer Monitor Device SmartDry,https://community.smartthings.com/t/dryer-monitor-device-smartdry/174180,14,829
139,Devices & Integrations,"GE, Networx, Interlogix Caddx NX8 security System Integration?",https://community.smartthings.com/t/ge-networx-interlogix-caddx-nx8-security-system-integration/48182,194,9227
140,Announcements,SmartThings/Samsung Account Migration Beta,https://community.smartthings.com/t/smartthings-samsung-account-migration-beta/100845,293,28791
141,Community Created Device Types,Flic button,https://community.smartthings.com/t/flic-button/62951,51,11295
142,Apps & Clients,"""Smart Lighting"" slave unit (Fibaro dimmer not working right)",https://community.smartthings.com/t/smart-lighting-slave-unit-fibaro-dimmer-not-working-right/195855,3,82
143,General Discussion,Can't get hold of support (UK),https://community.smartthings.com/t/cant-get-hold-of-support-uk/196277,15,93
144,Community Created Device Types,WLED with Smarthings,https://community.smartthings.com/t/wled-with-smarthings/175628,39,1952
145,Writing SmartApps,Meaning of the StateChangeOnly field in Device Subscriptions,https://community.smartthings.com/t/meaning-of-the-statechangeonly-field-in-device-subscriptions/196260,4,75
146,Connected Things,SwannOne Key Fob Support (updated 2019 DTH in post #51),https://community.smartthings.com/t/swannone-key-fob-support-updated-2019-dth-in-post-51/34594,66,7051
147,Devices & Integrations,MCT-340 sensor pairing,https://community.smartthings.com/t/mct-340-sensor-pairing/196693,7,35
148,Projects & Stories,Simple way to turn pool pump on/off using ST?,https://community.smartthings.com/t/simple-way-to-turn-pool-pump-on-off-using-st/50058,41,29454
149,Connected Things,Keymitt Aquires Naran Microbot Line,https://community.smartthings.com/t/keymitt-aquires-naran-microbot-line/196687,2,46
150,Community Created SmartApps,"[RELEASE] Universal Ecobee Suite, Version 1.8.01",https://community.smartthings.com/t/release-universal-ecobee-suite-version-1-8-01/187405,282,3025
151,Devices & Integrations,Can't add guest codes,https://community.smartthings.com/t/cant-add-guest-codes/196671,11,40
152,SmartApps & Automations,Stitch monoprice siren,https://community.smartthings.com/t/stitch-monoprice-siren/196685,7,38
153,SmartThings (Samsung Connect),New app shows old device names after they were changed in Classic app (or IDE) (Android),https://community.smartthings.com/t/new-app-shows-old-device-names-after-they-were-changed-in-classic-app-or-ide-android/196587,5,49
154,Community Created SmartApps,"Release: Data storage, Energy/Temp/Humidity Graphs and energy optimization back to you",https://community.smartthings.com/t/release-data-storage-energy-temp-humidity-graphs-and-energy-optimization-back-to-you/161468,35,989
155,Devices & Integrations,"IFTTT adds support for 25 new services, removes Wink and 13 other platforms",https://community.smartthings.com/t/ifttt-adds-support-for-25-new-services-removes-wink-and-13-other-platforms/196667,3,104
156,Devices & Integrations,Sonos S2 (June 2020),https://community.smartthings.com/t/sonos-s2-june-2020/196677,3,70
157,Community Created SmartApps,[RELEASE] HVAC Thermostat Automatic Fan Recirculation Scheduling (On/Off/Circulate),https://community.smartthings.com/t/release-hvac-thermostat-automatic-fan-recirculation-scheduling-on-off-circulate/11036,20,4829
158,Devices & Integrations,Tkb tz68c - can't find any code,https://community.smartthings.com/t/tkb-tz68c-cant-find-any-code/196419,2,39
159,Devices & Integrations,Remove device icon,https://community.smartthings.com/t/remove-device-icon/95752,2,431
160,General Discussion,Hub Stopped Working,https://community.smartthings.com/t/hub-stopped-working/196647,5,63
161,Community Created Device Types,Intermatic PE653 Pool Control System,https://community.smartthings.com/t/intermatic-pe653-pool-control-system/936,821,37511
162,Devices & Integrations,Sensi Thermostat,https://community.smartthings.com/t/sensi-thermostat/55474,126,19634
163,Community Created SmartApps,[RELEASE] HousePanel Dashboard for SmartThings and Hubitat,https://community.smartthings.com/t/release-housepanel-dashboard-for-smartthings-and-hubitat/108342,1838,58321
164,SmartApps & Automations,My First Automation -- Didn't work as planned,https://community.smartthings.com/t/my-first-automation-didnt-work-as-planned/194700,88,495
165,Community Created Device Types,[RELEASE] Fibaro Single Switch 2 FGS-213 & Double Switch 2 FGS-223,https://community.smartthings.com/t/release-fibaro-single-switch-2-fgs-213-double-switch-2-fgs-223/82272,220,15600
166,General Discussion,SmartThings Hub DELAYS and UNRELIABILITY for SCENES and AUTOMATIONS,https://community.smartthings.com/t/smartthings-hub-delays-and-unreliability-for-scenes-and-automations/150422,19,2364
167,Community Created SmartApps,Custom UI for House Panel,https://community.smartthings.com/t/custom-ui-for-house-panel/141051,22,2684
168,Devices & Integrations,Aurora Switches - Help,https://community.smartthings.com/t/aurora-switches-help/184843,12,374
169,Devices & Integrations,[RELEASE] Honeywell Lyric Water Leak Sensor Connect,https://community.smartthings.com/t/release-honeywell-lyric-water-leak-sensor-connect/109003,74,4654
170,General Discussion,Yale Assure locks randomly offline in new app,https://community.smartthings.com/t/yale-assure-locks-randomly-offline-in-new-app/196381,5,46
171,Projects & Stories,Project: Arduino based contactless doorbell,https://community.smartthings.com/t/project-arduino-based-contactless-doorbell/196635,4,54
172,FAQ,[FAQ] GE 3-Way Wiring,https://community.smartthings.com/t/faq-ge-3-way-wiring/74962,352,114077
173,SmartApps & Automations,How to not unlock by accident?,https://community.smartthings.com/t/how-to-not-unlock-by-accident/196477,7,71
174,Devices & Integrations,Ring Spotlight Cam (wired) to SmartThings,https://community.smartthings.com/t/ring-spotlight-cam-wired-to-smartthings/194777,4,94
175,Projects & Stories,[Release] Assistant Relay V3.3 Beta,https://community.smartthings.com/t/release-assistant-relay-v3-3-beta/176402,376,12011
176,Connected Things,Has anyone tried Flo or can recommend any other smart water leak detection system?,https://community.smartthings.com/t/has-anyone-tried-flo-or-can-recommend-any-other-smart-water-leak-detection-system/130557,28,5372
177,Devices & Integrations,Problems with Alexa,https://community.smartthings.com/t/problems-with-alexa/196548,4,93
178,webCoRE,Notification when GFCI trips,https://community.smartthings.com/t/notification-when-gfci-trips/136636,14,3607
179,Apps & Clients,Smartthings tv screen view,https://community.smartthings.com/t/smartthings-tv-screen-view/195648,15,302
180,General Discussion,"Selling home in 2019, can't find current ST hub transfer instructions",https://community.smartthings.com/t/selling-home-in-2019-cant-find-current-st-hub-transfer-instructions/173069,31,662
181,Devices & Integrations,Frontpoint Security (GE) door and window sensor compatibility?,https://community.smartthings.com/t/frontpoint-security-ge-door-and-window-sensor-compatibility/24568,2,1103
182,Devices & Integrations,Ihome still work with Smarthings and Homekit?,https://community.smartthings.com/t/ihome-still-work-with-smarthings-and-homekit/196611,4,56
183,Community Created SmartApps,[RELEASE] Thermostat Manager - An alternative to Thermostat Mode Director,https://community.smartthings.com/t/release-thermostat-manager-an-alternative-to-thermostat-mode-director/110885,141,8778
184,Devices & Integrations,Zemismart VS Aqara Wall Switch,https://community.smartthings.com/t/zemismart-vs-aqara-wall-switch/196612,1,47
185,Devices & Integrations,Bixby and Smartthings,https://community.smartthings.com/t/bixby-and-smartthings/196335,3,94
186,Devices & Integrations,Automate my kenwood coffee maker,https://community.smartthings.com/t/automate-my-kenwood-coffee-maker/149376,6,303
187,Connected Things,Smartthings Bulb default state?,https://community.smartthings.com/t/smartthings-bulb-default-state/196518,1,60
188,Community Created Device Types,[RELEASE] Universal Enhanced Z-Wave Lock Device Handler,https://community.smartthings.com/t/release-universal-enhanced-z-wave-lock-device-handler/6241,1412,150336
189,Connected Things,Enerwave Device Handler,https://community.smartthings.com/t/enerwave-device-handler/196052,4,59
